Summary,Issue key,Issue id,Status,Project key,Project name,Priority,Assignee,Components,,Custom field (Root Cause)
Commercial Auto: Patterncodes for Added PIP and UIM Coverage Symbols in payload are not valid,XXX-33395,212018,Ready for Dev,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Prod | GWCC EDW ABC Stage to edw balance check failed for 'LL5_Incurred' and 'LL5_Paid' balances on 7/30,BBB-7995,212016,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
Stab4-  XXX-31569_CPP_Crime +GL_Policychange_inception date _invalid quote,XXX-33394,212014,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
"Stab3_CA7 Vehicle import: ""Fleet” Indicator is hidden in Vehicle Screen/Import template but the same should be derived from the policy level fleet indicator. But getting Validation when Vehicles added through Vehicle import.",XXX-33393,212013,Cancelled,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab4_PC_CU_Exclusion -  Professional Liability Exclusion - Web Site Designers  should not be avaialble,XXX-33392,212012,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Prod | GWPC stage to Edw job failed on 7/30 due to error occurred in stored procedure usp_Insert_Commission_WrittenFinancials,BBB-7993,212002,New Item,BBB,EDW Production Operations,Medium,Williams,,,Coding
Issues_CA DS 26 11_Need Payload,XXX-33382,212001,Ready for Dev,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Stab4_Rating_Commercial Output_Submission - Personal Property premium is higher during submission,XXX-33381,211999,Done,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
Stab4_Rating_Commercial Output_Policy change - Getting Application Error while click on Pre emption button during Policy change,XXX-33380,211998,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab4_Integ_CC_CR GL file & recovery reserve transaction issue in QA 5 environment,XXX-33379,211990,Done,XXX,ANIC P&C Migration,Medium,John,ClaimCenter,,Environment
Issues_IM 7274 01 12 Transit Reporting Schedule,XXX-33378,211987,In Dev,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Issues_IM 7268 01 12 Theft Limitation - Transportation Coverage,XXX-33377,211986,In Dev,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
ODS_DetailCoverage AU Nonowned - INTSEC : PremiumAmount is not getting populated as expected in the CertificationLayer..ODS_DetailCoverage,AAA-5937,211982,In Test,AAA,AAA,Medium,Williams,,,Coding
Data Fix & Recreate GL/SL file for July 2nd - Policy 1026424 Effective Date 2023-02-16,BBB-7992,211979,Done,BBB,EDW Production Operations,Very High,David,,,Coding
Update EDI triggers for firing 'SX' report ,CC-5250,211978,In Dev,CC,Claim Center,Medium,Williams,ClaimCenter,,Coding
Offset/Onset Fix For GL/SL - Monthly Outstanding Reserves - Claim ANMF14300,BBB-7991,211977,Done,BBB,EDW Production Operations,Very High,David,,,Coding
Correct the CorVel Pay Code for Defense Attorney,CC-5249,211976,Ready for Dev,CC,Claim Center,Medium,Williams,ClaimCenter,,Coding
UAT1 - IM 7274 Owners Cargo> Manual Premium - remove Reporting Rate since it is duplicate (okay as Day 2 issue),XXX-33376,211975,To Do,XXX,ANIC P&C Migration,Low,Williams,PolicyCenter,,Coding
"UAT1 - Additional Construction Expenses Limit not defaulting to ""Included""",XXX-33374,211973,To Do,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
3.1 P&C | ODS - Missing UMB Coverages,AAA-5935,211972,Ready For Test,AAA,AAA,Medium,Martin,,,Coding
Missing Requirements - Energy Generating Income and Alternate Certification Company,XXX-33373,211956,To Do,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Update ANIC Agency Lookup Table (ANICAgencyMapping) - Agency U04,BBB-7990,211955,Done,BBB,EDW Production Operations,Critical,David,,,
UAT1 - Electricity or Water Replacement Limit misspelled on UI,XXX-33372,211954,To Do,XXX,ANIC P&C Migration,Low,Martin,PolicyCenter,,Coding
Open Items on CA ANI forms as part of Policy change transactions.,XXX-33371,211953,To Do,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
3.1 P&C | ODS -  ODS_RiskGL not aligned with RiskPC Class Codes,AAA-5919,211952,New Item,AAA,AAA,Medium,Martin,,,Coding
Stab4_PC_NewSubmission_Forms inferred twice - CP 00 10 CP 10 30,XXX-33370,211951,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
UAT1 - Form IM 7007 (ed 01 12 and 02 12) In quote screen premium calculation missing on quote screen for Leased and Rented FROM others Rating Deposit Premium,XXX-33369,211950,In UAT,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
Stab4_Rating_Commercial Auto_Submission_Getting hardstop error message when we add Audio Visual And Data Electronic Equipment Coverage Added Limits for Special type vehicle,XXX-33368,211949,In Dev,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Account 500xxxx28 not in BC,EEE-1786,211948,To Do,EEE,PolicyCenter,High,Williams,,,Coding
Stab4_Rating_Commercial Auto_Submission_WA - Unable to issue the policy due to warning message,XXX-33367,211942,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab4_PC Config_COP_All Txns_Locations present on an Account level & deleted locations all are getting displayed on Location dropdown menu on (Add Building) Risks screen,XXX-33366,211937,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Stab4_Rating_Commercial Auto_Submission - Premium is NOT populated for Private Passenger Auto Loan Coverage Private Passenger Autos Collision ,XXX-33365,211936,Done,XXX,ANIC P&C Migration,Medium,Williams,Rating,,Coding
QA : ODS-DetailCoverage : Extra records loaded in DetailCoverage Property Location Flow ,AAA-5918,211935,Invalid/Duplicate,AAA,AAA,Medium,Peter,,,Coding
Jasper PE - 'Make Change' button in payroll report review screen navigates to improper payroll screen,YYY-16521,211934,Done,YYY,ANIC WC Migration,Medium,Williams,Digital,,Coding
Stab4_Rating_Commercial Auto_Submission- VehicleUsageCredit is NOT applied for Garage Liability GaragekeepersCoverageCollisionCov Garage Other Than Collision for ,XXX-33364,211933,Done,XXX,ANIC P&C Migration,Medium,Williams,Rating,,Coding
Stab4_PC_NewSubmission_Forms_High limit option is not available to select Line Additional Coverages Location Additional Coverages Building Additional Coverages Occupancy Class Additional Coverages and Personal Property Additional Coverages.,XXX-33363,211932,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab4_Rating_Commercial Auto_Submission - VehicleUsageCredit Factor is NOT applied to Special Type Personal Injury Protection for KS State,XXX-33362,211920,Done,XXX,ANIC P&C Migration,Medium,Williams,Rating,,Coding
Prod |  AccessLayer_UnderWritingRiskEvalution job failed on 7/29,BBB-7988,211916,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
Stab4_Rating_Commercial Auto_Submission - VehicleUsageCredit Factor should NOT be applied to Private Passenger Collision and Other than Collision,XXX-33361,211915,Done,XXX,ANIC P&C Migration,High,John,Rating,,Coding
Prod | GLPaidloss- 8 transactions got error out on 7/28,BBB-7987,211909,New Item,BBB,EDW Production Operations,Medium,Martin,,,Coding
WCSTAT Errors - Re-map ClaimNumbers to what they are in the EDW,BBB-7986,211908,In UAT,BBB,EDW Production Operations,Medium,John,,,Coding
Jasper PE - New User not able to set password from link in mail received,YYY-16520,211907,In Dev,YYY,ANIC WC Migration,Medium,Williams,Digital,,Coding
Data Fix - UpdatedAccountingDate & UpdatedAccountingCycle,BBB-7985,211903,New Item,BBB,EDW Production Operations,Medium,Williams,,,Coding
Stab4_PC Config_COP_All Txns_Not a single Building/Risk is being added on Risks screen still user is able to quote the policy without any error message for at least one Building/Risk needs to be added,XXX-33359,211902,Done,XXX,ANIC P&C Migration,Medium,David,PolicyCenter,,Coding
ODS_DetailCoverageInland - Missing values from the InlandCoverageCodeLookup table.,AAA-5896,211901,Development,AAA,AAA,Medium,David,Stage to AAA,,Coding
Stab4_PC Config_COP_All Txns_Not a single Base State location is being added on Locations screen still user is able to quote the policy without any error message for Base location needs to be added ,XXX-33358,211900,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Stab4_PC_NewSubmission_Forms_Form name is incorrect for form no  CP 976 CP,XXX-33356,211895,In UAT,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab4_PC_NewSubmission_PolicyPacket_View button is not showing & unable to view the documents,XXX-33355,211894,In Dev,XXX,ANIC P&C Migration,High,David,Forms Mapping,,Coding
Stab4_PC_MEL_NewSubmission - Multiple Invoicing issues,XXX-33354,211893,Done,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Stab3_GL7 Audit: Proration is not applied correctly to Audited Premium for Auditable Coverages Audit Impacted Coverages & Non-Auditable Coverages during Final Audit & Premium Report,XXX-33353,211872,Done,XXX,ANIC P&C Migration,Medium,Williams,Rating,,Requirements
Stab4_PC_MEL_NewSubmission - coverages availability issues,XXX-33351,211817,Done,XXX,ANIC P&C Migration,Very High,Peter,PolicyCenter,,Coding
Stab4_Integ_CC_Duplicate check numbers are created in GW outbound file,XXX-33350,211816,Done,XXX,ANIC P&C Migration,Critical,John,ClaimCenter,,Coding
[Require Clarification - Rating] - Stab3_GL7 Audit: There’s a difference of $0.08 between Premium Screen & Audited Exposure Amount entered in Audit Detail Screen for highlighted Composite Schedule.,XXX-33349,211815,In Dev,XXX,ANIC P&C Migration,High,John,Rating,,Coding
REQUIREMENT_CHANGE-Stab4_PC Config_COP_All Txns_Locations is not getting removed on Locations screen (Policy Files) post issuance even though we removed the specific location on NB/submission txns already,XXX-33348,211812,In Dev,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab4_PC Config_COP_Policy Change_(Reason for Form = Policy Change) dropdown field is not coming on Building Risks Screen (Manuscript Premiums Tab) & related functionalities needs to be developed,XXX-33347,211810,Cancelled,XXX,ANIC P&C Migration,Very High,David,PolicyCenter,,Coding
Prod | GLPaidLoss- 20 transactions got error out today with GL effective date as 7/27,BBB-7981,211808,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
"Stab4_Rating_Commercial Package_Cancellation_Incorrect Term Amount taken in Quote Screen during Cancellation for all applicable coverages when ""Government crime Schedule Mod"" applied",XXX-33346,211807,Done,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
"Stab4_Rating_Commercial Package_Cancellation_Incorrect Term Amount taken in Quote Screen during Cancellation for all applicable coverages when ""Government fidelity Schedule Mod"" applied",XXX-33345,211806,Done,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
Prod| GL Paid Loss - 160 records errored out on 07/27,BBB-7980,211803,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
CDA PROD | GWPC-Parallel-Processing_CONTROL-M_AUDIT_STATUS_COMPLETED Job Failed | 07/27,BBB-7979,211802,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
UAT1 -IM 7274 When Coverage Part Form = Transportation and 'Applicable' is selected as Reporting Condition - Policy review shows as 'waived',XXX-33344,211800,Ready for Dev,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
Dim_LossContacts Duplicate Data caused the EODSequenceForAsofDate to be updated incorrectly,BBB-7978,211799,New Item,BBB,EDW Production Operations,Medium,David,,,Coding
UAT1 - IM 037 CP 03 24 Manuscript End - UI Not Allowing Multiple Manuscript Items,XXX-33343,211798,To Do,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
UAT1 - IM 7021 Remove specified fields from Part Level Coverages Screen ,XXX-33342,211797,Ready for Dev,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
UAT1 - Pay Plan Information Not Passing to Payload,XXX-33341,211796,In UAT,XXX,ANIC P&C Migration,High,John,SmartCOMM,,Coding
UAT1 - COP - PatternCodeIdentifiers Missing in QuoteScreen[],XXX-33340,211795,Done,XXX,ANIC P&C Migration,Very High,Peter,PolicyCenter,,Coding
Application error occurred when user trying to close trouble ticket. ,ZZZ-1339,211790,To Do,ZZZ,BillingCenter,Critical,Williams,,,Coding
UAT1 - IM 7275 Deductible cannot be less than $1000 however leaving blank is allowed.,XXX-33339,211789,To Do,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
WC xx 06 00 B Policy Info Page Endorsement does not display mid-term address change correctly,EEE-1781,211788,To Do,EEE,PolicyCenter,Medium,Williams,PolicyCenter,,Coding
Update Inference Logic for IM 7404 Additional Premises Schedule - Fine Arts Comprehensive Form,XXX-33338,211786,To Do,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Prod| GL Paid Loss - 16 records errored out on 07/26,BBB-7976,211782,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
Prod | SSAS cube Submission model failed due to discountFactorRecommendation column missing on 7/26,BBB-7975,211781,Done,BBB,EDW Production Operations,Very High,Williams,,,Coding
UAT1 - DataDog - Payload Content Failing,XXX-33336,211779,To Do,XXX,ANIC P&C Migration,Very High,Peter,Integrations - Mule,,Coding
Stab 4_PC_Common_ - Policy Change - Base state is editable on Policy Info screen,XXX-33335,211778,Done,XXX,ANIC P&C Migration,Medium,David,PolicyCenter,,Coding
"Update Exception rule for Supervisor Review Activity NonCA to add ClaimTypeCode_Ext =""Medical Only""",CC-5248,211777,Done,CC,Claim Center,Medium,David,ClaimCenter,,Coding
Stab4_Rating_General Liability_Cancellation - Line level manuscript premium is NOT displayed in the Cost change detail during mid term cancellation,XXX-33334,211775,To Do,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Data Fix - Manual Feeds NULL Attribution,BBB-7973,211774,Ready for UAT,BBB,EDW Production Operations,High,Williams,,,Coding
correct title & form # for IM 7356 Schedule Of Coverages - Fine Art Dealers - Blanket Coverage Form,XXX-33333,211772,To Do,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab4_Rating_Commercial Auto_Cancellation - State Manuscript Premium is NOT displayed in the Cost Change detail tab when we perform Mid Term Cancellation,XXX-33332,211771,Ready for Dev,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
"Stab4_Rating_Commercial Package_Cancellation_Incorrect Term Amount taken in Quote Screen during Cancellation for all applicable coverages when ""Commercial Crime Schedule Mod"" applied",XXX-33331,211769,Done,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
Stab3_GL7 Audit: Composite Schedules which is not added/removed during PolChange but there’s change in Est Premium due to change in Exposure/Rate for those Estimated & Audited premium should display as per PolChange Slice but for Full Audit Period.,XXX-33330,211768,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab4_Rating_Commercial Auto_Policy Change- Getting Application Error while quoting mid term policy change transaction,XXX-33329,211767,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab3_GL7 Audit: Only Class is changed during Policy Change. There’s no change in Exposure or Rate during Mid-Term Policy Change. Still the same Composite Schedule is getting prorated during Audit.,XXX-33328,211766,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab4_Rating_General Liability_Policy Change_ApplySizeModifier routine is displayed twice for Prod/Comp coverage during Policy change,XXX-33327,211763,In Dev,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
[AAA-5601]: Accesslayer: DIM_POLICYLINE: Few records are missing in Target table.,AAA-5887,211761,New Item,AAA,AAA,Medium,Williams,,,Coding
UAT1 - Comm Prop - Windstorm or Hail deds - should only have 1 2 and 5% options available,XXX-33326,211760,To Do,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
[Framework] CA - Guidewire Defect - Forms not Inferred during Policy Change,XXX-33324,211758,Cancelled,XXX,ANIC P&C Migration,Critical,Williams,PolicyCenter,,Coding
[user training]+Stab3_CA7 Vehicle Import: Primary Class Code & Secondary Class Code aren’t getting updated for the vehicle added through import functionality.,XXX-33323,211757,Blocked,XXX,ANIC P&C Migration,Very High,David,PolicyCenter,,Coding
Stab3_CA7 Vehicle Import(NB & PolChange): If there are few Existing vehicles and user adds few more vehicles through import Vehicle Seq is getting changed for existing vehicles incorrectly and also the vehicles aren’t displayed as per Broker Order.,XXX-33322,211755,Cancelled,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab4_Rating_Commercial Auto_Submission- Getting Invalid Quote while quoting the submission,XXX-33320,211750,Done,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
Stab3_CA7 Vehicle Export: For Existing Vehicles Broker order is not coming during Vehicle Export.,XXX-33319,211749,Cancelled,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
ODS_DetailCoverageInland - Incorrect Values populated for the Coverage columns from the InlandCoverageCodeLookup table,AAA-5881,211746,Done,AAA,AAA,Medium,Martin,Stage to AAA,,Coding
ODS_DetailCoverageInland - Missing records from the ODS_DetailCoverageInland table,AAA-5879,211744,Done,AAA,AAA,Medium,Martin,Stage to AAA,,Coding
Prod| GWPC Stage to edw balance check failed on 07/26,BBB-7970,211743,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
Prod| GWPC - Duplicate records in WCState table on 07/26,BBB-7968,211741,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
Implementation of Kingswaysoft for ODS transfer - Day 2 items,BBB-7967,211740,New Item,BBB,EDW Production Operations,Medium,Williams,,,Coding
Stab4-  XXX-31548_CPP_Crime +GL_-Policy change for mid -term policy getting invalid quote due to form issue in QA6,XXX-33318,211734,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
3.1 P&C | ODS Detail Coverage Table - Auto - STTrailer - The column Coverageclassificationcode is populated with ? values,AAA-5878,211733,Done,AAA,AAA,Medium,Williams,,,Coding
3.1 P&C | ODS Detail Coverage Table - Auto - Vehicle - Additional records loaded with CoverageCode as N/A,AAA-5877,211731,Done,AAA,AAA,Medium,Williams,,,Coding
UAT1 | IM 7105 - Miscellaneous Defects,XXX-33317,211728,Ready for Dev,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
[DB Drop] UAT1 - PN-xxxx 03 24 - Premium Installment Notice - Policy Form Pattern/Inference Update,XXX-33315,211726,Blocked,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
UAT1 | IM 7105 - Property Covered Blanket or Scheduled Locations Coverage - Required Field & Blanket Option,XXX-33314,211723,Cancelled,XXX,ANIC P&C Migration,Very High,David,PolicyCenter,,Coding
UAT1 - Interruption of Web Site Schedule fields to be required,XXX-33302,211709,Requirements,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
UAT1 - Valuable Papers and Records coverage terms missing on payload,XXX-33301,211705,Cancelled,XXX,ANIC P&C Migration,Very High,Williams,PolicyCenter,,Coding
[workaround Provided] UAT1 - Wind/Hail Ded validation error even with Special Class limit over the acceptable amount,XXX-33300,211704,Cancelled,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
UAT1 - Valuable Papers and Records schedules fields update,XXX-33299,211703,Ready for Dev,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
IM 1555 Schedule Of Coverages - Valuable Papers And Records title wrong on Forms Inference,XXX-33298,211702,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Requirements
GWPC  - pcx_clearance_ext in Landing doesn't include 'datecreated' field,DDD-5816,211699,Invalid/Duplicate,DDD,EDW QA COE,High,Williams,,,Coding
Renewal was Blocked due to missing SSN but not Blocked in Previous Renewal ,EEE-1778,211698,To Do,EEE,PolicyCenter,Very High,Williams,PolicyCenter,,Coding
Stab 4_PC_GL_ - New Submission - ISO 'Deductibles' coverage and its cov term for Liquor subline is hidden when Liquor subline is taken along with any of the 3 sublines applicable for Large deductible and Rate Mode is 'Large Deductible' ,XXX-33297,211697,In QA,XXX,ANIC P&C Migration,Medium,David,PolicyCenter,,Coding
Stab 4_PC_GL_ - New Submission - Products/Completed Operations PD Deductible Products/Completed Operations BI and PD Deductible are non-editable when subline is Products/Completed Operations,XXX-33296,211695,In QA,XXX,ANIC P&C Migration,Medium,David,PolicyCenter,,Coding
Stab 4_PC_GL_ - New Submission - OOTB Form CG 22 34 Exclusion - Construction Management Errors And Omissions is not getting inferred,XXX-33295,211691,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Fix Message Queue Issue - Attempted to set PaymentInstrument that belongs to different payer as DefaultPaymentInstrument,ZZZ-1326,211686,To Do,ZZZ,BillingCenter,High,Williams,,,Coding
Class codes are not availble for CA location with USL&H governing law,YYY-16518,211678,In Dev,YYY,ANIC WC Migration,Medium,Williams,Jasper,,Coding
Stab4_Rating_Commercial Auto_Submission_CA7MotorCarrierEnhancEnd_PC_Ext premium is not calculated correctly,XXX-33292,211675,Requirements,XXX,ANIC P&C Migration,Very High,Peter,Rating,,Coding
Stab 4_PC_GL_ - New Submission - OOTB Form CG 21 54 Exclusion - Designated Operations Covered By A Controlled (Wrap-Up) Insurance Program is not getting inferred,XXX-33291,211674,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Stab 3_XXX-31547_PC_CPP_getting reporting plan in QA6,XXX-33290,211673,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab 4_PC_GL_ - New Submission - Defense Cost Within Deductibles? field is appearing when BI and PD Deductible is 'No Deductible' while it should only appear when BI and PD Deductible is not equal to 'No Deductible',XXX-33288,211672,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Stab 4_PC_GL_ - Reinstatement- Reinstatement Letter is getting mapped to PC-001 form number along with PC-019 while only PC-019 should come as it is the correct form number,XXX-33287,211671,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
[Blocked due to defect] Stab 3_XXX-31547_PC_CPP+CP+Crime+GL_Form not triggereing for QA6,XXX-33286,211670,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Jasper PE - My Profile - Updated notification is not getting saved,YYY-16517,211663,Done,YYY,ANIC WC Migration,High,Williams,Digital,,Coding
WY state is not applicable for WC product,YYY-16516,211660,Done,YYY,ANIC WC Migration,Medium,Williams,Jasper,,Coding
3.1 P&C | ODS Detail Coverage Table - Auto - Vehicle - Records loaded with Incorrect values for the column CoverageLevelApplicabilityCode and Subline ,AAA-5866,211658,Ready For Test,AAA,AAA,Medium,Williams,,,Coding
Jasper PE - Billing screen - Invoice Stream gets to default instead of selected,YYY-16515,211656,Done,YYY,ANIC WC Migration,Medium,Williams,Digital,,Coding
Stab3_PC_WC_NewSubmission_Policy Conversion_ dropdown options are not in sync,XXX-33283,211655,Ready for Dev,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
"Stab4_Rating_Commercial Package_Cancellation_Incorrect Term Amount taken in Quote Screen during Cancellation for all applicable coverages when ""Commercial fidelity Schedule Mod"" applied",XXX-33282,211652,Done,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
Missing Net rate and net premium under Rating group screen ,YYY-16514,211651,Done,YYY,ANIC WC Migration,Medium,Williams,Jasper,,Coding
Business unit value is set to NONE  even when user is using valid producer code ,YYY-16513,211649,Done,YYY,ANIC WC Migration,Medium,Williams,Jasper,,Coding
UAT1 - COP CAT limit not calculating correctly & Actual Cash Value Applies missing in UI,XXX-33281,211648,In Dev,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Application error when user click on Quote button ,YYY-16512,211647,Done,YYY,ANIC WC Migration,Medium,Williams,Jasper,,Coding
Stab 3_XXX-31547_PC_CPP_GL_Exclusion Of Certified Acts Of Terrorism And Exclusion Of Other Acts Of Terrorism Committed Outside The United States_QA6 not displayed to select,XXX-33280,211646,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Not a Defect
Jasper CE - Width of button option's needs to be adjusted Close(X) icon should be removed.,YYY-16511,211645,Done,YYY,ANIC WC Migration,Medium,Williams,Jasper,,Coding
Inland Marine: Installation Floater -Manual Premium tab- Delay In Completion Rate need to be Non Editable during Policy Change,XXX-33279,211644,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Requirements
3.1 P&C | ODS Detail Coverage Table - Auto - State - The column UARNumber and UARType are populated Incorrectly,AAA-5864,211641,Invalid/Duplicate,AAA,AAA,High,Williams,,,Coding
Jasper PE - Bill Payment-ACH payment confirmation is not displayed,YYY-16510,211640,Done,YYY,ANIC WC Migration,Medium,Williams,Digital,,Coding
Stab 4_PC_GL_ - Policy Change- Getting application error while trying to quote,XXX-33278,211639,Done,XXX,ANIC P&C Migration,Very High,David,PolicyCenter,,Coding
"Stab4_Rating_General Liability_NB_""GL7SaveandZeroOutModifiers_Ext"" not applied to Schedule Mod applicable coverages leading to Schedule Mod applied twice to Term Amount",XXX-33277,211637,Ready for QA,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
3.1 P&C | ODS Detail Coverage Table - Auto - STGarageK - Additional records populated with Incorrect CoverageClassificationCode,AAA-5862,211633,Done,AAA,AAA,High,Williams,,,Coding
3.1 P&C | ODS Detail Coverage Table - Auto - Vehicle - The column Coverageclassificationcode is populated Incorrectly,AAA-5861,211632,Done,AAA,AAA,Very High,Williams,,,Coding
WCClaimant.InjuryCodeInjuryType does not have correct data which causes WCSTAT rejects,BBB-7957,211626,Analysis,BBB,EDW Production Operations,High,Martin,,,Coding
Stab3_CA7 Policy Change: CA 599 CP CA 1155 CP & CA 1156 CP should infer again during Policy Change for respective Base States if any data change is done for Driver Exclusion.,XXX-33276,211624,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
"CE: Claims FNOL Documents uploaded to ""Fast Track"" upload screen do not appear in Claims Details",GGG-1381,211623,To Do,GGG,GW Cloud Digital,Medium,Williams,,,Coding
Stab3_CA7 Config: CA 599 CP & CA 1155 CP should infer on the basis of Base State. But currently even if applicable state is added as jurisdiction with different Base State mentioned Forms are getting inferred.,XXX-33275,211622,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
IM Final Audit: Only Premium Report is applicable for Builders' Risk the same shouldn’t be displayed as Auditable Coverage during Final Audit even if Builders' Risk is added in a policy along with Final Audit Applicable Coverage Part.,XXX-33273,211620,Cancelled,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
UAT1 - Existing Building Limit should be required,XXX-33272,211619,Ready for Dev,XXX,ANIC P&C Migration,Low,Martin,PolicyCenter,,Coding
Prod | In GLDailyWrittenPremium 80 records got errored out on 7/24,BBB-7956,211617,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
Prod | GLPaidloss- 20 transactions got error out on 7/23,BBB-7955,211616,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
Prod| RBBBrtingDailyJob failed on 07/24,BBB-7954,211600,New Item,BBB,EDW Production Operations,Medium,Williams,,,Coding
Incorrect policy premium total at the account level view ,EEE-1775,211598,To Do,EEE,PolicyCenter,Medium,Williams,,,Coding
Prod| GL WrittenPremium job failed on 07/24,BBB-7953,211586,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
Stab4_Rating_Commercial Auto_Submission- CA7BusinessAutoEnhancEnd_PC_Ext premium is not calculated correctly,XXX-33257,211580,Blocked,XXX,ANIC P&C Migration,High,Peter,Rating,,Coding
ODS Policy Table - Incorrect values populated in the Policy Cancellation Date column,AAA-5852,211557,Development,AAA,AAA,Medium,Williams,Stage to AAA,,Coding
3.1 P&C | ODS Detail Coverage Table - Auto - Nonowned - Records getting dropped,AAA-5850,211516,Done,AAA,AAA,Medium,Williams,,,Coding
Prod| GWCC - Duplicate records in Claimsourcecontrolamounts table on 07/24,BBB-7952,211508,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
